pollutant,outcome,year,lag,n_iter,mean_r,sd_r,mean_p,Vul,Rc,Rc_CI_low,Rc_CI_high,Rc_class
PM2.5,ILI,2025,1,1000,0.6182,0.1208,0.8709,0.6869,0.6869,0.3742,0.881,Moderate-low
PM2.5,ILI,2025,2,1000,0.612,0.1256,0.8712,0.6792,0.6792,0.3413,0.8629,Moderate-low
PM2.5,ILI,2026,0,1000,0.7194,0.2037,0.88,0.8185,0.8185,0.2434,1.0,High
PM2.5,ILI,2026,1,1000,0.4359,0.2266,0.911,0.3928,0.3928,0.0,1.0,Low
PM2.5,ILI,2026,2,1000,0.6289,0.2207,0.9006,0.7006,0.7006,0.0408,1.0,Moderate
PM2.5,pneumonia,2023,0,1000,0.8205,0.0987,0.7596,0.8496,0.8496,0.6661,0.9794,High
PM2.5,pneumonia,2023,1,1000,0.903,0.0699,0.7008,0.9149,0.9149,0.7615,1.0,Critical
PM2.5,pneumonia,2023,2,1000,0.5708,0.1621,0.8903,0.6205,0.6205,0.1882,0.908,Low
PM2.5,pneumonia,2024,0,1000,0.5208,0.1281,0.9067,0.5432,0.5432,0.2475,0.849,Negligible
PM2.5,pneumonia,2024,1,1000,0.3211,0.1203,0.8346,0.2567,0.2567,0.0793,0.4642,Moderate
PM2.5,pneumonia,2024,2,1000,0.368,0.1194,0.8666,0.3037,0.3037,0.1217,0.6221,Moderate-low
PM2.5,pneumonia,2025,0,1000,0.6879,0.1131,0.8222,0.7466,0.7466,0.5591,0.9226,Moderate
PM2.5,pneumonia,2025,1,1000,0.6836,0.119,0.823,0.743,0.743,0.5247,0.9279,Moderate
PM2.5,pneumonia,2025,2,1000,0.5304,0.1236,0.9055,0.5622,0.5622,0.2492,0.8124,Very low
PM2.5,pneumonia,2026,0,1000,0.6491,0.2283,0.8914,0.7195,0.7195,0.0,1.0,Moderate
PM2.5,pneumonia,2026,1,1000,0.6988,0.213,0.8853,0.8028,0.8028,0.1858,1.0,High
PM2.5,pneumonia,2026,2,1000,0.5159,0.2512,0.903,0.5188,0.5188,0.0,1.0,Negligible
PM2.5,respiratory_disease,2023,0,1000,0.8511,0.0933,0.7376,0.8747,0.8747,0.6991,0.9891,Very high
PM2.5,respiratory_disease,2023,1,1000,0.7249,0.1502,0.8234,0.803,0.803,0.5282,1.0,High
PM2.5,respiratory_disease,2023,2,1000,0.3001,0.1394,0.8391,0.232,0.232,0.0493,0.5711,Moderate-high
PM2.5,respiratory_disease,2024,0,1000,0.4182,0.1274,0.8905,0.36,0.36,0.145,0.7128,Low
PM2.5,respiratory_disease,2024,1,1000,0.3388,0.121,0.847,0.2725,0.2725,0.0632,0.554,Moderate
PM2.5,respiratory_disease,2024,2,1000,0.3857,0.1275,0.8727,0.3209,0.3209,0.1007,0.6732,Moderate-low
PM2.5,respiratory_disease,2025,0,1000,0.6264,0.1195,0.8641,0.6902,0.6902,0.3777,0.8769,Moderate-low
PM2.5,respiratory_disease,2025,1,1000,0.6369,0.1211,0.8592,0.707,0.707,0.398,0.901,Moderate
PM2.5,respiratory_disease,2025,2,1000,0.594,0.1303,0.8789,0.6598,0.6598,0.3054,0.8883,Moderate-low
PM2.5,respiratory_disease,2026,0,1000,0.5215,0.2496,0.905,0.5061,0.5061,0.0,0.9256,Negligible
PM2.5,respiratory_disease,2026,1,1000,0.4352,0.2332,0.9077,0.4087,0.4087,0.0,1.0,Very low
PM2.5,respiratory_disease,2026,2,1000,0.5102,0.2339,0.9121,0.5271,0.5271,0.0,1.0,Negligible
