pollutant,outcome,year,lag,week_index,year_week,exposed,inc_lag,baseline_inc,delta_inc,baseline_window,n_neighbors
PM10,ILI,2024,1,79,2024-W44,1,0.0006104997427230421,0.0006318210375794929,-2.1321294856450814e-05,3,3
PM10,ILI,2024,1,80,2024-W45,1,0.0006858349845491683,0.0006670011740926368,1.883381045653153e-05,3,2
PM10,ILI,2024,1,81,2024-W46,1,0.0006822814354064265,0.0006670011740926368,1.528026131378973e-05,4,2
PM10,ILI,2024,1,82,2024-W47,0,0.0007021813106057806,0.0009814902732252864,-0.00027930896261950573,5,2
PM10,ILI,2024,1,83,2024-W48,1,0.0007476667396328757,0.0010166704097384304,-0.0002690036701055547,3,2
PM10,ILI,2024,1,84,2024-W49,1,0.0008386375976870659,0.0010166704097384304,-0.00017803281205136447,3,2
PM10,ILI,2024,1,85,2024-W50,1,0.0008748837989430323,0.0010166704097384304,-0.00014178661079539807,3,2
PM10,ILI,2024,1,86,2024-W51,0,0.00133115950887108,0.0009814902732252866,0.0003496692356457934,4,2
PM10,ILI,2024,1,87,2024-W52,1,0.0011840425743615693,0.0012959793723579362,-0.00011193679799636688,3,2
PM10,ILI,2025,1,88,2025-W01,1,0.0010774361000793153,0.0012607992358447924,-0.00018336313576547717,3,3
PM10,ILI,2025,1,89,2025-W02,1,0.001293491887958017,0.0012607992358447924,3.2692652113224495e-05,3,3
PM10,ILI,2025,1,90,2025-W03,0,0.0012607992358447924,0.0010003240836818181,0.0002604751521629743,3,2
PM10,ILI,2025,1,91,2025-W04,0,0.001104443073564153,0.0010785021648221378,2.5940908742015135e-05,3,2
PM10,ILI,2025,1,92,2025-W05,1,0.0010340828005378651,0.001104443073564153,-7.036027302628777e-05,3,3
PM10,ILI,2025,1,93,2025-W06,0,0.0008962050937994832,0.0011826211547044728,-0.00028641606090498955,3,2
PM10,ILI,2025,1,94,2025-W07,1,0.0008827016070570643,0.0008962050937994832,-1.3503486742418936e-05,3,3
PM10,ILI,2025,1,96,2025-W09,1,0.0007647237755180364,0.000661670850378524,0.00010305292513951238,3,4
PM10,ILI,2025,1,97,2025-W10,0,0.0006645136896927175,0.0006446138144933634,1.989987519935405e-05,3,3
PM10,ILI,2025,1,98,2025-W11,0,0.0006211603901512675,0.000651720912778847,-3.0560522627579565e-05,3,4
PM10,ILI,2025,1,99,2025-W12,0,0.0006588280110643306,0.0006268460687796544,3.198194228467622e-05,3,5
PM10,ILI,2025,1,100,2025-W13,0,0.0006446138144933634,0.0006428370399219925,1.7767745713709012e-06,3,6
PM10,ILI,2025,1,101,2025-W14,0,0.0006268460687796544,0.0006335978121508638,-6.751743371209359e-06,3,6
PM10,ILI,2025,1,102,2025-W15,0,0.0005962855461520748,0.0006357299416365089,-3.944439548443407e-05,3,6
PM10,ILI,2025,1,103,2025-W16,0,0.0007149740875196511,0.0006094336779802195,0.00010554040953943155,3,6
PM10,ILI,2025,1,104,2025-W17,0,0.0006225818098083642,0.0005667910882673178,5.579072154104643e-05,3,6
PM10,ILI,2025,1,105,2025-W18,0,0.0004889683620412724,0.0006094336779802195,-0.00012046531593894714,3,6
PM10,ILI,2025,1,106,2025-W19,0,0.0005102896568977232,0.00059841767563772,-8.812801873999679e-05,3,6
