year_week,week_index,year,pollutant,value,threshold_pc75,distance_from_thr,exposed,weight
2025-W29,116,2025,NO2,15.827142857142857,41.045,-25.217857142857145,0,0.01
2025-W30,117,2025,NO2,19.125714285714285,41.045,-21.919285714285717,0,0.01
2025-W31,118,2025,NO2,17.39142857142857,41.045,-23.653571428571432,0,0.01
2025-W32,119,2025,NO2,18.314285714285717,41.045,-22.730714285714285,0,0.01
2025-W33,120,2025,NO2,12.81714285714286,41.045,-28.22785714285714,0,0.01
2025-W34,121,2025,NO2,18.795714285714286,41.045,-22.249285714285715,0,0.01
2025-W35,122,2025,NO2,24.99142857142857,41.045,-16.05357142857143,0,0.01
2025-W36,123,2025,NO2,29.447142857142858,41.045,-11.597857142857144,0,0.01
2025-W37,124,2025,NO2,29.677142857142854,41.045,-11.367857142857147,0,0.01
2025-W38,125,2025,NO2,27.775714285714287,41.045,-13.269285714285715,0,0.01
2025-W39,126,2025,NO2,31.49857142857143,41.045,-9.54642857142857,0,0.01
2025-W40,127,2025,NO2,40.09428571428572,41.045,-0.9507142857142838,0,0.01
2025-W41,128,2025,NO2,43.39571428571429,41.045,2.3507142857142895,1,0.4228190257443869
2025-W42,129,2025,NO2,37.55,41.045,-3.4950000000000045,0,0.01
2025-W43,130,2025,NO2,41.36714285714286,41.045,0.3221428571428575,1,0.09764836410846062
2025-W44,131,2025,NO2,43.67142857142857,41.045,2.626428571428569,1,0.4504695741340264
2025-W45,132,2025,NO2,54.31714285714286,41.045,13.27214285714286,1,0.9295471901339449
2025-W46,133,2025,NO2,32.79,41.045,-8.255000000000003,0,0.01
2025-W47,134,2025,NO2,47.87714285714286,41.045,6.8321428571428555,1,0.7197158810840398
2025-W48,135,2025,NO2,48.39428571428572,41.045,7.34928571428572,1,0.7420741140061701
2025-W49,136,2025,NO2,48.31,41.045,7.265000000000001,1,0.7385262096518085
2025-W50,137,2025,NO2,47.29714285714285,41.045,6.25214285714285,1,0.6928121019353353
2025-W51,138,2025,NO2,32.77571428571429,41.045,-8.269285714285715,0,0.01
2025-W52,139,2025,NO2,44.49428571428572,41.045,3.449285714285722,1,0.5219766720858819
2026-W01,140,2026,NO2,44.24428571428571,43.434,0.8100000000000023,1,0.2714148801500506
2026-W02,141,2026,NO2,51.33428571428573,43.434,7.90000000000002,1,1.0
2026-W03,142,2026,NO2,48.052857142857135,43.434,4.618571428571428,1,0.789586893846315
2026-W04,143,2026,NO2,44.72571428571429,43.434,1.2914285714285825,1,0.37930283804701476
2026-W05,144,2026,NO2,43.16428571428571,43.434,-0.269999999999996,0,0.01
2026-W06,145,2026,NO2,42.00142857142857,43.434,-1.432857142857138,0,0.01
2026-W07,146,2026,NO2,40.37857142857143,43.434,-3.0557142857142736,0,0.01
2026-W08,147,2026,NO2,41.50142857142857,43.434,-1.932857142857138,0,0.01
2026-W09,148,2026,NO2,42.54,43.434,-0.8942857142857079,0,0.01
2026-W10,149,2026,NO2,37.87428571428571,43.434,-5.559999999999995,0,0.01
2026-W11,150,2026,NO2,35.50857142857143,43.434,-7.925714285714278,0,0.01
2026-W12,151,2026,NO2,30.59857142857143,43.434,-12.835714285714278,0,0.01
2026-W13,152,2026,NO2,34.49285714285715,43.434,-8.94142857142856,0,0.01
2026-W14,153,2026,NO2,32.887142857142855,43.434,-10.547142857142852,0,0.01
2026-W15,154,2026,NO2,22.332857142857144,43.434,-21.101428571428563,0,0.01
2026-W16,155,2026,NO2,26.695714285714285,43.434,-16.738571428571422,0,0.01
2023-W18,1,2023,PM2.5,10.998571428571427,18.559,-7.560714285714287,0,0.01
2023-W19,2,2023,PM2.5,6.644285714285715,18.559,-11.915,0,0.01
2023-W20,3,2023,PM2.5,9.57,18.559,-8.989285714285714,0,0.01
2023-W21,4,2023,PM2.5,12.857142857142858,18.559,-5.7021428571428565,0,0.01
2023-W22,5,2023,PM2.5,12.235714285714284,18.559,-6.32357142857143,0,0.01
2023-W23,6,2023,PM2.5,12.26142857142857,18.559,-6.2978571428571435,0,0.01
2023-W24,7,2023,PM2.5,14.285714285714286,18.559,-4.273571428571428,0,0.01
2023-W25,8,2023,PM2.5,15.95142857142857,18.559,-2.607857142857144,0,0.01
2023-W26,9,2023,PM2.5,13.094285714285714,18.559,-5.465,0,0.01
2023-W27,10,2023,PM2.5,14.334285714285716,18.559,-4.224999999999998,0,0.01
2023-W28,11,2023,PM2.5,14.477142857142857,18.559,-4.082142857142857,0,0.01
2023-W29,12,2023,PM2.5,14.19,18.559,-4.369285714285715,0,0.01
2023-W30,13,2023,PM2.5,8.167142857142858,18.559,-10.392142857142856,0,0.01
2023-W31,14,2023,PM2.5,6.477142857142857,18.559,-12.082142857142857,0,0.01
2023-W32,15,2023,PM2.5,12.23857142857143,18.559,-6.320714285714285,0,0.01
2023-W33,16,2023,PM2.5,15.047142857142855,18.559,-3.512142857142859,0,0.01
2023-W34,17,2023,PM2.5,12.214285714285714,18.559,-6.345000000000001,0,0.01
