year_week,week_index,year,respiratory_disease_count,respiratory_disease_inc,respiratory_disease_inc_lag0,respiratory_disease_inc_lag1,respiratory_disease_inc_lag2,ILI_count,ILI_inc,ILI_inc_lag0,ILI_inc_lag1,ILI_inc_lag2,pneumonia_count,pneumonia_inc,pneumonia_inc_lag0,pneumonia_inc_lag1,pneumonia_inc_lag2
2024-W03,38,2024,2625,0.0018656132999394475,0.0018656132999394475,0.0019075451798238009,0.0020546621143333115,800,0.0005685678628386888,0.0005685678628386888,0.0006325317474080413,0.0006467459439790085,310,0.0002203200468499919,0.0002203200468499919,0.00024093063187789437,0.0002601197972487001
2024-W04,39,2024,2684,0.0019075451798238009,0.0019075451798238009,0.0020546621143333115,0.0020468443062192795,890,0.0006325317474080413,0.0006325317474080413,0.0006467459439790085,0.0006488780734646536,339,0.00024093063187789437,0.00024093063187789437,0.0002601197972487001,0.0002473270203348296
2024-W05,40,2024,2891,0.0020546621143333115,0.0020546621143333115,0.0020468443062192795,0.002017705203248797,910,0.0006467459439790085,0.0006467459439790085,0.0006488780734646536,0.0006837028550635232,366,0.0002601197972487001,0.0002601197972487001,0.0002473270203348296,0.00023169140410676567
2024-W06,41,2024,2880,0.0020468443062192795,0.0020468443062192795,0.002017705203248797,0.0020340515293054092,913,0.0006488780734646536,0.0006488780734646536,0.0006837028550635232,0.0006979170516344905,348,0.0002473270203348296,0.0002473270203348296,0.00023169140410676567,0.00021392365839305666
2024-W07,42,2024,2839,0.002017705203248797,0.002017705203248797,0.0020340515293054092,0.0020191266229058935,962,0.0006837028550635232,0.0006837028550635232,0.0006979170516344905,0.0006417709751791699,326,0.00023169140410676567,0.00023169140410676567,0.00021392365839305666,0.00024874843999192633
2024-W08,43,2024,2862,0.0020340515293054092,0.0020340515293054092,0.0020191266229058935,0.0021022796728460517,982,0.0006979170516344905,0.0006979170516344905,0.0006417709751791699,0.000702892020434329,301,0.00021392365839305666,0.00021392365839305666,0.00024874843999192633,0.0002544341186203132
2024-W09,44,2024,2841,0.0020191266229058935,0.0020191266229058935,0.0021022796728460517,0.0021690863967295977,903,0.0006417709751791699,0.0006417709751791699,0.000702892020434329,0.0007512202887756175,350,0.00024874843999192633,0.00024874843999192633,0.0002544341186203132,0.00027575541347676404
2024-W10,45,2024,2958,0.0021022796728460517,0.0021022796728460517,0.0021690863967295977,0.002268585772726368,989,0.000702892020434329,0.000702892020434329,0.0007512202887756175,0.0007803593917461003,358,0.0002544341186203132,0.0002544341186203132,0.00027575541347676404,0.0002800196724480542
2024-W11,46,2024,3052,0.0021690863967295977,0.0021690863967295977,0.002268585772726368,0.002067454891247182,1057,0.0007512202887756175,0.0007512202887756175,0.0007803593917461003,0.0007249240251193282,388,0.00027575541347676404,0.00027575541347676404,0.0002800196724480542,0.0002729125741625706
2024-W12,47,2024,3192,0.002268585772726368,0.002268585772726368,0.002067454891247182,0.002144211552730405,1098,0.0007803593917461003,0.0007803593917461003,0.0007249240251193282,0.0007398489315188438,394,0.0002800196724480542,0.0002800196724480542,0.0002729125741625706,0.00026864831519128043
2024-W13,48,2024,2909,0.002067454891247182,0.002067454891247182,0.002144211552730405,0.0019466342203939607,1020,0.0007249240251193282,0.0007249240251193282,0.0007398489315188438,0.0007156847973481995,384,0.0002729125741625706,0.0002729125741625706,0.00026864831519128043,0.0002857053510764411
2024-W14,49,2024,3017,0.002144211552730405,0.002144211552730405,0.0019466342203939607,0.002091619025417826,1041,0.0007398489315188438,0.0007398489315188438,0.0007156847973481995,0.0006943635024917487,378,0.00026864831519128043,0.00026864831519128043,0.0002857053510764411,0.0002622519267343452
2024-W15,50,2024,2739,0.0019466342203939607,0.0019466342203939607,0.002091619025417826,0.001994962488735249,1007,0.0007156847973481995,0.0007156847973481995,0.0006943635024917487,0.0006915206631775552,402,0.0002857053510764411,0.0002857053510764411,0.0002622519267343452,0.00026296263656289354
2024-W16,51,2024,2943,0.002091619025417826,0.002091619025417826,0.001994962488735249,0.0021037010925031483,977,0.0006943635024917487,0.0006943635024917487,0.0006915206631775552,0.0007370060922046503,369,0.0002622519267343452,0.0002622519267343452,0.00026296263656289354,0.0002857053510764411
2024-W17,52,2024,2807,0.001994962488735249,0.001994962488735249,0.0021037010925031483,0.0019516091891937993,973,0.0006915206631775552,0.0006915206631775552,0.0007370060922046503,0.0006801493059207814,370,0.00026296263656289354,0.00026296263656289354,0.0002857053510764411,0.00027930896261950584
2024-W18,53,2024,2960,0.0021037010925031483,0.0021037010925031483,0.0019516091891937993,0.001927445055023155,1037,0.0007370060922046503,0.0007370060922046503,0.0006801493059207814,0.0006282674884367511,402,0.0002857053510764411,0.0002857053510764411,0.00027930896261950584,0.0002643840562199903
2024-W19,54,2024,2746,0.0019516091891937993,0.0019516091891937993,0.001927445055023155,0.00197293048405025,957,0.0006801493059207814,0.0006801493059207814,0.0006282674884367511,0.0006701993683211044,393,0.00027930896261950584,0.00027930896261950584,0.0002643840562199903,0.00027006973484837714
2024-W20,55,2024,2712,0.001927445055023155,0.001927445055023155,0.00197293048405025,0.0019459235105654122,884,0.0006282674884367511,0.0006282674884367511,0.0006701993683211044,0.0006481673636361052,372,0.0002643840562199903,0.0002643840562199903,0.00027006973484837714,0.00028286251176224764
2024-W21,56,2024,2776,0.00197293048405025,0.00197293048405025,0.0019459235105654122,0.0018421598755973517,943,0.0006701993683211044,0.0006701993683211044,0.0006481673636361052,0.0006502994931217503,380,0.00027006973484837714,0.00027006973484837714,0.00028286251176224764,0.00028286251176224764
2024-W22,57,2024,2738,0.0019459235105654122,0.0019459235105654122,0.0018421598755973517,0.0016922001017736475,912,0.0006481673636361052,0.0006481673636361052,0.0006502994931217503,0.0006638029798641691,398,0.00028286251176224764,0.00028286251176224764,0.00028286251176224764,0.00027575541347676404
2024-W23,58,2024,2592,0.0018421598755973517,0.0018421598755973517,0.0016922001017736475,0.0017831709598278376,915,0.0006502994931217503,0.0006502994931217503,0.0006638029798641691,0.0006801493059207814,398,0.00028286251176224764,0.00028286251176224764,0.00027575541347676404,0.0002842839314193444
2024-W24,59,2024,2381,0.0016922001017736475,0.0016922001017736475,0.0017831709598278376,0.001793831607256063,934,0.0006638029798641691,0.0006638029798641691,0.0006801493059207814,0.0007021813106057806,388,0.00027575541347676404,0.00027575541347676404,0.0002842839314193444,0.0003020516771330534
2024-W25,60,2024,2509,0.0017831709598278376,0.0017831709598278376,0.001793831607256063,0.0017767745713709025,957,0.0006801493059207814,0.0006801493059207814,0.0007021813106057806,0.0006417709751791699,400,0.0002842839314193444,0.0002842839314193444,0.0003020516771330534,0.00030844806558998864
2024-W26,61,2024,2524,0.001793831607256063,0.001793831607256063,0.0017767745713709025,0.0017298677226867106,988,0.0007021813106057806,0.0007021813106057806,0.0006417709751791699,0.0006929420828346519,425,0.0003020516771330534,0.0003020516771330534,0.00030844806558998864,0.0003439835570174067
2024-W27,62,2024,2500,0.0017767745713709025,0.0017767745713709025,0.0017298677226867106,0.0016708788069171967,903,0.0006417709751791699,0.0006417709751791699,0.0006929420828346519,0.0006765957567780396,434,0.00030844806558998864,0.00030844806558998864,0.0003439835570174067,0.00031200161473273044
2024-W28,63,2024,2434,0.0017298677226867106,0.0017298677226867106,0.0016708788069171967,0.0016602181594889713,975,0.0006929420828346519,0.0006929420828346519,0.0006765957567780396,0.0006652243995212659,484,0.0003439835570174067,0.0003439835570174067,0.00031200161473273044,0.0002878374805620862
