year,week,week_index,year_week,week_start,season,winter_flag,spring_flag,summer_flag,NO2_mean,NO2_max,NO2_p75,NO2_n_days,PM25_mean,PM25_max,PM25_p75,PM25_n_days,PM10_mean,PM10_max,PM10_p75,PM10_n_days,temp_mean,humidity_mean,respiratory_disease,ILI,pneumonia,sin52,cos52,sin26,cos26,sin1,cos1,sin2,cos2,time_numeric,partial_pollution_week,complete_pollution_week,missing_NO2_days,missing_PM25_days,missing_PM10_days,w52_2025_flag,outlier_flag
2024,31,66,2024-W31,2024-08-02,summer,0,0,1,19.53857142857143,21.58,20.695,7,11.524285714285714,14.0,13.0,7,23.0,28.25,26.25,7,26.29,69.1,2285,885,472,0.992708874098054,-0.12053668025532309,-0.23931566428755782,-0.970941817426052,0.992708874098054,-0.12053668025532309,-0.23931566428755782,-0.970941817426052,66,0,1,0,0,0,0,0
2024,32,67,2024-W32,2024-08-09,summer,0,0,1,19.03,23.65,20.72,7,13.904285714285715,16.33,16.0,7,24.428571428571427,27.25,26.125,7,27.68,65.98,1923,734,395,0.9709418174260519,-0.23931566428755813,-0.46472317204376923,-0.8854560256532096,0.9709418174260519,-0.23931566428755813,-0.46472317204376923,-0.8854560256532096,67,0,1,0,0,0,0,0
2024,33,68,2024-W33,2024-08-16,summer,0,0,1,16.381428571428568,23.91,18.715,7,9.857142857142858,14.0,11.335,7,20.75,27.0,22.875,7,25.0,71.19,2042,764,384,0.9350162426854149,-0.35460488704253545,-0.6631226582407949,-0.7485107481711013,0.9350162426854149,-0.35460488704253545,-0.6631226582407949,-0.7485107481711013,68,0,1,0,0,0,0,0
2024,34,69,2024-W34,2024-08-23,summer,0,0,1,21.155714285714286,30.99,23.61,7,12.382857142857143,17.67,13.335,7,24.881428571428575,33.5,27.625,7,25.07,69.27,2022,798,388,0.8854560256532102,-0.4647231720437679,-0.8229838658936556,-0.568064746731157,0.8854560256532102,-0.4647231720437679,-0.8229838658936556,-0.568064746731157,69,0,1,0,0,0,0,0
2024,35,70,2024-W35,2024-08-30,summer,0,0,1,29.037142857142857,34.25,31.869999999999997,7,14.69,22.0,18.665,7,26.642857142857146,38.0,33.0,7,24.16,72.39,2198,816,390,0.8229838658936571,-0.5680647467311547,-0.935016242685414,-0.354604887042538,0.8229838658936571,-0.5680647467311547,-0.935016242685414,-0.354604887042538,70,0,1,0,0,0,0,0
2024,36,71,2024-W36,2024-09-06,summer,0,0,1,24.767142857142858,33.22,27.025,7,7.905714285714287,12.5,9.585,7,16.535714285714285,25.33,19.125,7,20.63,78.67,2018,712,370,0.7485107481711012,-0.6631226582407952,-0.992708874098054,-0.12053668025532319,0.7485107481711012,-0.6631226582407952,-0.992708874098054,-0.12053668025532319,71,0,1,0,0,0,0,0
2024,37,72,2024-W37,2024-09-13,summer,0,0,1,26.83142857142857,32.94,30.955,7,5.738571428571428,7.33,6.67,7,13.785714285714286,18.75,15.75,7,16.62,57.6,2053,652,350,0.6631226582407956,-0.7485107481711006,-0.9927088740980542,0.12053668025532183,0.6631226582407956,-0.7485107481711006,-0.9927088740980542,0.12053668025532183,72,0,1,0,0,0,0,0
2024,38,73,2024-W38,2024-09-20,summer,0,0,1,34.222857142857144,38.99,36.095,7,12.691428571428572,17.0,14.585,7,24.785714285714285,32.0,28.375,7,17.37,80.52,2394,749,344,0.5680647467311567,-0.8229838658936557,-0.9350162426854156,0.35460488704253346,0.5680647467311567,-0.8229838658936557,-0.9350162426854156,0.35460488704253346,73,0,1,0,0,0,0,0
2024,39,74,2024-W39,2024-09-27,summer,0,0,1,24.467142857142857,31.85,25.560000000000002,7,8.237142857142857,13.67,11.5,7,16.584285714285716,29.0,19.71,7,16.55,78.17,2907,885,437,0.4647231720437685,-0.8854560256532099,-0.8229838658936564,0.5680647467311559,0.4647231720437685,-0.8854560256532099,-0.8229838658936564,0.5680647467311559,74,0,1,0,0,0,0,0
2024,40,75,2024-W40,2024-10-04,winter,1,0,0,27.747142857142855,36.34,28.82,7,10.285714285714286,17.67,12.0,7,17.144285714285715,27.67,20.67,7,14.08,88.74,2821,859,391,0.3546048870425361,-0.9350162426854146,-0.663122658240796,0.7485107481711004,0.3546048870425361,-0.9350162426854146,-0.663122658240796,0.7485107481711004,75,0,1,0,0,0,0,0
2024,41,76,2024-W41,2024-10-11,winter,1,0,0,31.07857142857143,37.34,36.31,7,15.167142857142858,22.5,20.665,7,24.69142857142857,35.33,32.0,7,15.42,86.73,2809,925,427,0.23931566428755877,-0.9709418174260518,-0.4647231720437704,0.8854560256532089,0.23931566428755877,-0.9709418174260518,-0.4647231720437704,0.8854560256532089,76,0,1,0,0,0,0,0
2024,42,77,2024-W42,2024-10-18,winter,1,0,0,33.71714285714286,45.14,39.275000000000006,7,14.905714285714286,26.67,19.835,7,25.01142857142857,48.0,34.29,7,16.1,89.79,2810,856,405,0.12053668025532287,-0.992708874098054,-0.2393156642875574,0.9709418174260521,0.12053668025532287,-0.992708874098054,-0.2393156642875574,0.9709418174260521,77,0,1,0,0,0,0,0
2024,43,78,2024-W43,2024-10-25,winter,1,0,0,33.96285714285714,47.51,39.265,7,19.57,30.33,22.5,7,31.75,51.5,37.79,7,14.96,92.83,2750,889,393,3.6739403974420594e-16,-1.0,-7.347880794884119e-16,1.0,3.6739403974420594e-16,-1.0,-7.347880794884119e-16,1.0,78,0,1,0,0,0,0,0
2024,44,79,2024-W44,2024-11-01,winter,1,0,0,39.63857142857143,44.85,41.135000000000005,7,27.905714285714282,38.33,29.335,7,42.17857142857143,55.75,44.125,7,10.45,92.94,2848,971,488,-0.12053668025532391,-0.9927088740980539,0.23931566428755946,0.9709418174260516,-0.12053668025532391,-0.9927088740980539,0.23931566428755946,0.9709418174260516,79,0,1,0,0,0,0,0
